,,,years,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,34,38,42,46,50,54,58,62,66,70,74,78,82,86,90,96,102,108,114,120,128,136,144,152,160,168,184,200
31,ppp          ," Paper products, publishing ",ppp,-0.000639,-0.001616,-0.002635,-0.003697,-0.004819,-0.005928,-0.00717,-0.008486,-0.009871,-0.011337,-0.012876,-0.014495,-0.016192,-0.017896,-0.019748,-0.021677,-0.025696,-0.03002,-0.03458,-0.039497,-0.044708,-0.050206,-0.055987,-0.061978,-0.068316,-0.074948,-0.081898,-0.089117,-0.096785,-0.101916,-0.106334,-0.113128,-0.119934,-0.126494,-0.132684,-0.138448,-0.145545,-0.151891,-0.157468,-0.162416,-0.166771,-0.170596,-0.1773,-0.182294
32,p_c          ," Petroleum, coal products ",p_c,-0.000891,0.001512,0.003936,0.006375,0.008812,0.011292,0.013716,0.016115,0.018492,0.020837,0.02315,0.025424,0.027661,0.029907,0.032063,0.034178,0.038317,0.042275,0.046093,0.049684,0.053084,0.056288,0.059298,0.062154,0.064756,0.067133,0.06926,0.071156,0.072684,0.0716,0.069367,0.065581,0.061429,0.057208,0.053089,0.049167,0.04426,0.039835,0.035849,0.032313,0.029189,0.026439,0.021613,0.018024
33,crp          ," Chemical,rubber,plastic prods ",crp,-0.007644,-0.006915,-0.005923,-0.004681,-0.003248,-0.001561,0.000206,0.002087,0.004081,0.006148,0.008296,0.010496,0.012754,0.015123,0.01745,0.019803,0.024524,0.029301,0.034153,0.038942,0.043683,0.048375,0.053007,0.057664,0.062229,0.06677,0.071288,0.075911,0.080552,0.085722,0.08985,0.094099,0.096187,0.096993,0.097036,0.096638,0.095792,0.09466,0.093644,0.092576,0.091566,0.090609,0.088754,0.086848
34,nmm          , Mineral products nec,nmm,0.010685,0.010729,0.010646,0.010446,0.010104,0.009699,0.009094,0.008346,0.007466,0.006438,0.005278,0.003974,0.002536,0.001027,-0.000685,-0.002528,-0.006492,-0.010983,-0.015936,-0.021467,-0.02753,-0.034131,-0.041293,-0.048999,-0.057435,-0.066632,-0.076732,-0.087865,-0.100421,-0.109778,-0.117903,-0.12988,-0.141365,-0.15218,-0.162245,-0.171541,-0.182932,-0.193052,-0.201996,-0.209851,-0.216728,-0.222707,-0.232973,-0.239921
35,i_s          , Ferrous metals,i_s,-0.003211,-0.006379,-0.009444,-0.012396,-0.015309,-0.018083,-0.020901,-0.023722,-0.026532,-0.02938,-0.032239,-0.035146,-0.038082,-0.04099,-0.044024,-0.047107,-0.053421,-0.059981,-0.066733,-0.073801,-0.081171,-0.088828,-0.096783,-0.104962,-0.11349,-0.122316,-0.131475,-0.1409,-0.150737,-0.153334,-0.154305,-0.157003,-0.160939,-0.165409,-0.170019,-0.174544,-0.180299,-0.185641,-0.190332,-0.194564,-0.198315,-0.201637,-0.207522,-0.212096
36,nfm          , Metals nec,nfm,-0.03249,-0.035985,-0.039284,-0.042326,-0.04527,-0.047996,-0.050607,-0.053152,-0.055572,-0.057987,-0.060315,-0.062627,-0.064895,-0.067083,-0.069297,-0.071465,-0.075863,-0.080217,-0.084545,-0.088792,-0.093059,-0.097277,-0.101398,-0.105327,-0.108942,-0.112123,-0.114747,-0.1165,-0.11704,-0.111633,-0.105776,-0.099259,-0.095117,-0.092397,-0.090497,-0.08908,-0.087615,-0.086292,-0.085586,-0.084908,-0.084359,-0.083961,-0.083545,-0.084127
37,fmp          , Metal products,fmp,-0.002161,-0.002288,-0.002368,-0.002402,-0.002443,-0.002404,-0.002458,-0.002557,-0.002693,-0.002899,-0.003159,-0.003498,-0.003905,-0.004319,-0.004889,-0.005541,-0.007041,-0.008899,-0.011056,-0.013644,-0.016626,-0.019996,-0.023766,-0.027879,-0.032491,-0.037573,-0.043194,-0.049361,-0.056322,-0.060205,-0.063696,-0.069963,-0.077179,-0.084687,-0.092106,-0.099225,-0.108166,-0.116314,-0.123564,-0.130008,-0.135687,-0.140658,-0.149287,-0.155406
38,mvh          , Motor vehicles and parts ,mvh,0.009284,0.006062,0.002783,-0.000533,-0.003927,-0.007279,-0.010784,-0.014362,-0.018005,-0.021732,-0.02553,-0.029407,-0.033357,-0.037289,-0.041384,-0.045557,-0.054072,-0.062887,-0.07192,-0.081333,-0.09107,-0.101127,-0.111526,-0.12219,-0.133306,-0.144842,-0.156867,-0.169361,-0.182587,-0.189119,-0.193314,-0.199458,-0.205293,-0.210729,-0.215745,-0.220345,-0.22595,-0.230944,-0.235256,-0.239091,-0.242469,-0.245447,-0.250712,-0.254785
39,otn          , Transport equipment nec ,otn,0.00985,0.01028,0.010821,0.011486,0.012201,0.013117,0.013978,0.014862,0.015783,0.016697,0.017629,0.018546,0.019458,0.02047,0.021355,0.02222,0.023864,0.025378,0.026845,0.028062,0.029061,0.029836,0.030362,0.030725,0.030706,0.03035,0.029594,0.028502,0.026814,0.026809,0.026939,0.026414,0.025149,0.023553,0.02183,0.020103,0.017887,0.015756,0.014024,0.012349,0.010853,0.009497,0.006977,0.004636
40,ele          , Electronic equipment,ele,0.000511,0.005105,0.010226,0.015885,0.021912,0.02847,0.035242,0.042253,0.049539,0.056978,0.06463,0.072392,0.08031,0.088452,0.09655,0.104746,0.121199,0.137841,0.15469,0.171517,0.188265,0.204929,0.221445,0.237885,0.254005,0.269844,0.285274,0.300334,0.314721,0.327203,0.33677,0.347344,0.353681,0.357413,0.359534,0.360664,0.361367,0.361338,0.361186,0.360825,0.360418,0.359995,0.359125,0.358145
